Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,62.330002,63.209999,61.320000,61.660000,60.374748,1580500
2022-01-04,62.299999,63.810001,62.009998,63.520000,62.195972,1721300
2022-01-05,64.180000,68.169998,63.840000,65.959999,64.585114,2296800
2022-01-06,66.889999,66.919998,63.669998,64.050003,62.714928,1573000
2022-01-07,64.400002,64.910004,61.450001,62.310001,61.011200,1943900
2022-01-10,62.840000,63.279999,59.709999,60.590000,59.327053,2027900
2022-01-11,59.090000,60.990002,58.180000,60.970001,59.699131,1995200
2022-01-12,62.209999,63.840000,62.000000,63.599998,62.274307,1713900
2022-01-13,63.320000,64.199997,62.349998,62.820000,61.510567,1364000
2022-01-14,62.419998,63.049999,61.480000,62.209999,60.913280,1285000
2022-01-18,61.619999,61.689999,59.700001,59.900002,58.651432,1480200
2022-01-19,61.500000,62.340000,58.520000,58.959999,57.731022,1986100
2022-01-20,59.529999,61.660000,56.919998,56.959999,55.772713,3288600
2022-01-21,56.330002,56.330002,52.330002,52.450001,51.356724,4178300
2022-01-24,50.919998,55.060001,50.540001,54.700001,53.559822,5799500
2022-01-25,51.480000,55.430000,51.439999,54.119999,52.991909,5980100
2022-01-26,55.240002,55.630001,52.259998,53.119999,52.012756,3589100
2022-01-27,54.310001,56.500000,54.000000,54.340000,53.207325,3554100
2022-01-28,54.439999,54.930000,52.820000,54.919998,53.775234,2155400
2022-01-31,54.500000,56.560001,54.450001,55.520000,54.362728,2874400
2022-02-01,56.630001,57.880001,56.450001,57.610001,56.409168,2214000
2022-02-02,57.480000,59.849998,56.500000,59.169998,57.936646,2097800
2022-02-03,58.470001,60.500000,57.830002,58.869999,57.642899,1933000
2022-02-04,58.400002,59.810001,58.240002,58.939999,57.711441,1342900
2022-02-07,59.619999,59.860001,56.860001,58.330002,57.114159,1596500
2022-02-08,58.990002,61.139999,58.549999,60.599998,59.336845,2545000
2022-02-09,60.759998,62.779999,60.119999,62.549999,61.246193,1790500
2022-02-10,61.700001,62.910000,60.950001,61.340000,60.061417,1904800
2022-02-11,60.799999,62.139999,59.950001,60.709999,59.444550,2474400
2022-02-14,60.810001,61.930000,60.250000,61.610001,60.325794,2237600
2022-02-15,61.639999,64.129997,60.349998,63.779999,62.450554,2147200
2022-02-16,63.779999,65.699997,63.310001,64.290001,62.949924,1752400
2022-02-17,63.810001,64.550003,62.950001,63.240002,61.921814,1328000
2022-02-18,63.619999,64.809998,63.349998,63.950001,62.617012,1951100
2022-02-22,64.230003,65.440002,62.860001,63.040001,61.725983,2124800
2022-02-23,63.230000,64.269997,61.990002,62.160000,60.864326,1627100
2022-02-24,60.180000,63.459999,59.040001,63.259998,61.941395,2504600
2022-02-25,63.630001,69.129997,63.439999,69.010002,67.571533,2896500
2022-02-28,67.709999,71.940002,67.570000,70.580002,69.108818,4829900
2022-03-01,72.000000,75.410004,70.220001,72.169998,70.665672,3488800
